gene	type	level of evidence	chemicals	phenotypes	variant
HTR2A	Efficacy	4	paroxetine	Depressive Disorder, Major	rs7997012
SLC6A4	Efficacy	4	citalopram	Depressive Disorder, Major	SLC6A4 HTTLPR long form (L allele)
SLC6A4	Efficacy	4	citalopram	Depressive Disorder, Major	 SLC6A4 HTTLPR short form (S allele)
SLC6A4	Efficacy	4	sertraline	Depressive Disorder, Major,Panic Disorder	rs57098334
SLC6A4	Efficacy	4	sertraline	Depressive Disorder, Major,Panic Disorder	SLC6A4 HTTLPR long form (L allele)
SLC6A4	Efficacy	4	sertraline	Depressive Disorder, Major,Panic Disorder	 SLC6A4 HTTLPR short form (S allele)
SLC6A4	Toxicity	4	sertraline	Anxiety Disorders,Depressive Disorder, Major	SLC6A4 HTTLPR long form (L allele)
SLC6A4	Toxicity	4	sertraline	Anxiety Disorders,Depressive Disorder, Major	 SLC6A4 HTTLPR short form (S allele)
SLC6A4	Efficacy	4	fluoxetine	Depressive Disorder, Major	rs25531
SLC6A4	Efficacy	4	fluoxetine	Depressive Disorder, Major,Obsessive-Compulsive Disorder	SLC6A4 HTTLPR long form (L allele)
SLC6A4	Efficacy	4	fluoxetine	Depressive Disorder, Major,Obsessive-Compulsive Disorder	 SLC6A4 HTTLPR short form (S allele)
